Text,start,end ,label
1 cup granulated sugar,6,22,INGREDIENT
1 cup graham cracker crumbs,6,27,INGREDIENT
1 cup frozen blueberries,13,24,INGREDIENT
1 cup fresh cream,12,17,INGREDIENT
1 cup fresh blueberries,12,23,INGREDIENT
1 cup flaked coconut,6,20,INGREDIENT
1 cup dark chocolate chips,6,26,INGREDIENT
1 cup crushed pineapple,14,23,INGREDIENT
1 cup chopped walnuts,14,21,INGREDIENT
1 cup chocolate frosting,16,24,INGREDIENT
1 cup chocolate chips,6,20,INGREDIENT
1 cup buttermilk,6,16,INGREDIENT
1 cup almonds,6,13,INGREDIENT
1 cup all purpose white flour,24,29,INGREDIENT
1 cup all purpose flour,18,22,INGREDIENT
1 cup 96 g unsweetened cocoa powder nonalkalized,11,30,INGREDIENT
1 cup 85 grams dutch process cocoa powder sifted,29,41,INGREDIENT
1 cup 85 g cocoa powder,11,22,INGREDIENT
1 cup 340 g cream cheese softened,10,17,INGREDIENT
1 cup 3 tablespoons all purpose flour,32,37,INGREDIENT
1 cup 284 g unsalted butter room temperature,21,27,INGREDIENT
1 cup 250 ml granulated sugar,24,29,INGREDIENT
1 cup 240ml water,12,17,INGREDIENT
1 cup 240ml milk,12,16,INGREDIENT
1 cup 240 ml whipping cream,13,27,INGREDIENT
1 cup 240 ml buttermilk room temperature,13,23,INGREDIENT
1 cup 240 ml boiling water,21,26,INGREDIENT
1 cup 240 g chocolate chips optional,10,21,INGREDIENT
1 cup 227g unsalted butter softened to room temperature,20,26,INGREDIENT
1 cup 226 g or 2 sticks unsalted butter room temperature,17,32,INGREDIENT
1 cup 224g unsalted butter room temperature,20,26,INGREDIENT
1 cup 220g caster sugar,11,23,INGREDIENT
1 cup 220 g light brown sugar,18,29,INGREDIENT
1 cup 217 g redpath golden yellow sugar packed,34,39,INGREDIENT
1 cup 200 g white sugar,18,23,INGREDIENT
1 cup 200 g redpath granulated sugar,20,36,INGREDIENT
1 cup 156 g all purpose flour,24,29,INGREDIENT
1 cup 125 g all purpose flour,24,29,INGREDIENT
1 cup 120g all purpose flour be sure to measure properly,23,28,INGREDIENT
1 cup 1 tablespoon 212g granulated sugar,24,40,INGREDIENT
1 box puff pastry dough 2 sheets,6,17,INGREDIENT
1 box of yellow cake mix,16,24,INGREDIENT
1 bar 8 ounces cream cheese room temperature,15,27,INGREDIENT
1 and teaspoons vanilla extract,16,31,INGREDIENT
1 and 3/4 cup all purpose flour,26,31,INGREDIENT
1 9 inch prepared shortbread pie crust,29,37,INGREDIENT
1 8 ounce can crushed pineapple with juice,22,31,INGREDIENT
1 5 ounce can evaporated milk,14,29,INGREDIENT
1 3/4 cups granulated sugar,11,27,INGREDIENT
1 3/4 cups cake flour not self rising,11,21,INGREDIENT
1 3/4 cups all purpose flour,23,28,INGREDIENT
1 3 ounce package cream cheese softened,18,30,INGREDIENT
1 2/3 cups 10 ounce package nestl toll house dark chocolate morsels,45,59,INGREDIENT
1 173 ounce package frozen puff pastry thawed in refrigerator,27,38,INGREDIENT
1 1525 ounce can mango slices with juice,17,22,INGREDIENT
1 1/3 mashed ripe banana,18,24,INGREDIENT
1 1/2 tsp vanilla extract,10,25,INGREDIENT
1 1/2 tsp 75 ml baking powder,16,29,INGREDIENT
1 1/2 teaspoons pure vanilla extract,21,36,INGREDIENT
1 1/2 teaspoons baking soda,16,27,INGREDIENT
1 1/2 teaspoons baking powder,15,28,INGREDIENT
1 1/2 teaspoon baking powder,14,27,INGREDIENT
1 1/2 sheet gelatin or 3 g powdered gelatin,12,19,INGREDIENT
1 1/2 cups light brown sugar,23,28,INGREDIENT
1 1/2 cups granulated sugar,11,27,INGREDIENT
1 1/2 cups chocolate graham cracker crumbs,21,35,INGREDIENT
1 1/2 cups butter unsalted room temperature,11,17,INGREDIENT
1 1/2 cups 375 ml all purpose flour sifted,30,35,INGREDIENT
1 1/2 cups 3 sticks unsalted butter room temperature,29,35,INGREDIENT
1 1/2 cup sliced almonds,17,24,INGREDIENT
1 1/2 cup digestive biscuits,20,28,INGREDIENT
1 1 ounce package unflavored gelatin,29,36,INGREDIENT
